Junction Material,Gate Self aligned (yes=1 and No=0),"Channel direction vertical=1, lateral=0",Lg (nm),Wns/Dnw (nm),SS (mV/dec),Ion (A/um) ,Vov
P+-Si/i-Si/n+-Si,1,1,55,18,62,2.30E-07,0.45
P+-Si/i-Si/n+-Si,0,1,200,70,70,1.00E-05,1.2
P+-Si/i-Si/n+-Si,0,1,170,40,50,1.00E-08,1.2
P+-Si/i-Si/n+-Si,1,0,180,5,63,8.00E-04,0.6
P+-Si/i-Si/n+-Si,1,0,200,7,30,2.00E-06,0.5
P+-Si/i-Si/n+-Si,1,0,250,8,62,7.00E-06,0.5
P+-Si/i-Si/n+-Si,1,0,50,10,76,1.50E-05,0.45
n?-Si / i-Si / n?-Si (on p-Si substrate),1,1,33,10,140,1.00E+02,1
p?-Si / i-Si / p?-Si,1,0,80,15,62,1.00E-06,0.6
n?-Si/i-Si/n?-Si,1,0,80,35,62,1.00E-06,0.6
"n?-Si / i-Si / n?-Si , p?-Si / i-Si / p?-Si",1,0,50,8,84,1.00E-05,0.1
"n?-Si/i-Si/n?-Si (nFET), p?-Si/i-Si/p?-Si (pFET)",1,0,30,6,65.1,1.00E-06,0.9
"n?-Si/i-Si/n?-Si , p?-Si/i-Si/p?-Si",1,0,16,3,69.2,1.00E-04,0.7
"n?-Si/i-Si/n?-Si (NMOS), p?-Ge/i-Ge/p?-Ge (PMOS)",1,0,75,65,80,1.00E-06,0.65
n?-Si/ NWs,,1,,100,145,1.00E-06,0.95
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,20,20,75,8.50E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,50,20,90,5.30E-05,0.5
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,20,20,85,5.30E-05,0.5
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,80,20,63,6.30E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,50,30,155,7.20E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,90,30,150,7.20E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,90,50,170,7.20E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,50,50,180,7.20E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,70,30,154,7.20E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,70,50,172,7.20E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,110,50,170,7.20E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,110,30,150,7.20E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,60,30,94,6.00E-04,0.5
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,100,60,110,6.00E-04,0.5
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,100,30,90,6.00E-04,0.5
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,75,30,95,6.00E-04,0.5
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,60,30,97,6.00E-04,0.5
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,60,30,66,6.00E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,200,90,98,1.00E-06,0.5
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,200,90,90,1.00E-06,0.05
n?-InAs / i-InAs / n?-InAs,0,0,100,15,140,1.25E-03,0.5
n?-InAs / i-InAs / n?-InAs,0,0,100,15,93,1.25E-03,0.01
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,80,25,78,5.00E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,70,30,78,5.10E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,60,35,75,5.25E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,50,25,75,5.25E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,40,30,78,5.30E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,40,35,82,5.30E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,30,25,84,5.20E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,30,30,78,5.20E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,30,35,78,5.20E-04,0.05
n?-InGaAs / i-InGaAs / n?-InGaAs,0,0,20,25,85,5.30E-04,0.05
