Junction Material,Gate Self aligned,Channel direction,Lg,Wns,SS,Ion,Vov
P+-Si/i-Si/n+-Si,1,1,55,18,62,0.00000023,0.45
P+-Si/i-Si/n+-Si,0,1,200,70,70,0.00001,1.2
P+-Si/i-Si/n+-Si,0,1,170,40,50,0.00000001,1.2
P+-Si/i-Si/n+-Si,1,0,180,5,63,0.0008,0.6
P+-Si/i-Si/n+-Si,1,0,200,7,30,0.000002,0.5
P+-Si/i-Si/n+-Si,1,0,250,8,62,0.000007,0.5
P+-Si/i-Si/n+-Si,1,0,50,10,76,0.000015,0.45
n?-Si / i-Si / n?-Si (on p-Si substrate),1,1,33,10,140,100,1
p?-Si / i-Si / p?-Si,1,0,80,15,62,0.000001,0.6
n?-Si/i-Si/n?-Si,1,0,80,35,62,0.000001,0.6
"n?-Si / i-Si / n?-Si , p?-Si / i-Si / p?-Si",1,0,50,8,84,0.00001,0.1
"n?-Si/i-Si/n?-Si (nFET), p?-Si/i-Si/p?-Si (pFET)",1,0,30,6,65.1,0.000001,0.9
"n?-Si/i-Si/n?-Si , p?-Si/i-Si/p?-Si",1,0,16,3,69.2,0.0001,0.7
"n?-Si/i-Si/n?-Si (NMOS), p?-Ge/i-Ge/p?-Ge (PMOS)",1,0,75,65,80,0.000001,0.65
n?-Si/ NWs,0,1,80,100,145,0.000001,0.95
n?InGaAs / iInGaAs / n?InGaAs,0,0,20,20,75,0.00085,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,50,20,90,0.000053,0.5
n?InGaAs / iInGaAs / n?InGaAs,0,0,20,20,85,0.000053,0.5
n?InGaAs / iInGaAs / n?InGaAs,0,0,80,20,63,0.00063,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,50,30,155,0.00072,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,90,30,150,0.00072,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,90,50,170,0.00072,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,50,50,180,0.00072,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,70,30,154,0.00072,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,70,50,172,0.00072,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,110,50,170,0.00072,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,110,30,150,0.00072,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,60,30,94,0.0006,0.5
n?InGaAs / iInGaAs / n?InGaAs,0,0,100,60,110,0.0006,0.5
n?InGaAs / iInGaAs / n?InGaAs,0,0,100,30,90,0.0006,0.5
n?InGaAs / iInGaAs / n?InGaAs,0,0,75,30,95,0.0006,0.5
n?InGaAs / iInGaAs / n?InGaAs,0,0,60,30,97,0.0006,0.5
n?InGaAs / iInGaAs / n?InGaAs,0,0,60,30,66,0.0006,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,200,90,98,0.000001,0.5
n?InGaAs / iInGaAs / n?InGaAs,0,0,200,90,90,0.000001,0.05
n?InAs / iInAs / n?InAs,0,0,100,15,140,0.00125,0.5
n?InAs / iInAs / n?InAs,0,0,100,15,93,0.00125,0.01
n?InGaAs / iInGaAs / n?InGaAs,0,0,80,25,78,0.0005,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,70,30,78,0.00051,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,60,35,75,0.000525,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,50,25,75,0.000525,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,40,30,78,0.00053,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,40,35,82,0.00053,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,30,25,84,0.00052,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,30,30,78,0.00052,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,30,35,78,0.00052,0.05
n?InGaAs / iInGaAs / n?InGaAs,0,0,20,25,85,0.00053,0.05
